season,md,home_team,away_team,home_goals,away_goals
2008/2009,8,Fortuna Dusseldorf,Rot-Weiß Erfurt,3,0
2008/2009,8,Stuttgarter Kickers,Kickers Emden,1,1
2008/2009,8,SC Paderborn 07,Bayern München II,2,1
2008/2009,8,VfR Aalen,Kickers Offenbach,1,1
2008/2009,8,FC Carl Zeiss Jena,1. FC Union Berlin,1,2
2008/2009,9,SG Dynamo Dresden,Eintracht Braunschweig,1,1
2008/2009,9,Bayern München II,Stuttgarter Kickers,3,3
2008/2009,9,Wacker Burghausen,Jahn Regensburg,0,1
2008/2009,9,Kickers Offenbach,Werder Bremen,1,0
2008/2009,9,Erzgebirge Aue,SV Sandhausen,2,2
2008/2009,9,Rot-Weiß Erfurt,SpVgg Unterhaching,4,1
2008/2009,9,Kickers Emden,Fortuna Dusseldorf,1,0
2008/2009,9,VfB Stuttgart,SC Paderborn 07,1,2
2008/2009,9,Wuppertaler SV Borussia,FC Carl Zeiss Jena,0,1
2008/2009,9,1. FC Union Berlin,VfR Aalen,3,0
2008/2009,10,VfR Aalen,Wuppertaler SV Borussia,0,0
2008/2009,10,FC Carl Zeiss Jena,SG Dynamo Dresden,0,0
2008/2009,10,Jahn Regensburg,Erzgebirge Aue,1,4
2008/2009,10,Eintracht Braunschweig,Wacker Burghausen,2,0
2008/2009,10,Werder Bremen,1. FC Union Berlin,1,2
2008/2009,10,SC Paderborn 07,Kickers Offenbach,0,0
2008/2009,10,Stuttgarter Kickers,VfB Stuttgart,4,4
2008/2009,10,SpVgg Unterhaching,Kickers Emden,1,1
2008/2009,10,SV Sandhausen,Rot-Weiß Erfurt,2,0
2008/2009,10,Fortuna Dusseldorf,Bayern München II,1,1
2008/2009,11,Kickers Emden,SV Sandhausen,3,0
2008/2009,11,Bayern München II,SpVgg Unterhaching,0,0
2008/2009,11,VfB Stuttgart,Fortuna Dusseldorf,0,4
2008/2009,11,Kickers Offenbach,Stuttgarter Kickers,4,0
2008/2009,11,1. FC Union Berlin,SC Paderborn 07,3,2
2008/2009,11,SG Dynamo Dresden,VfR Aalen,1,1
2008/2009,11,Eintracht Braunschweig,FC Carl Zeiss Jena,1,2
2008/2009,11,Rot-Weiß Erfurt,Jahn Regensburg,4,1
2008/2009,11,Wuppertaler SV Borussia,Werder Bremen,2,1
2008/2009,11,Wacker Burghausen,Erzgebirge Aue,0,4
2008/2009,12,Erzgebirge Aue,Rot-Weiß Erfurt,1,0
2008/2009,12,SpVgg Unterhaching,VfB Stuttgart,0,2
2008/2009,12,FC Carl Zeiss Jena,Wacker Burghausen,2,2
2008/2009,12,Werder Bremen,SG Dynamo Dresden,0,1
2008/2009,12,Stuttgarter Kickers,1. FC Union Berlin,2,2
2008/2009,12,SC Paderborn 07,Wuppertaler SV Borussia,0,1
2008/2009,12,VfR Aalen,Eintracht Braunschweig,2,0
2008/2009,12,Jahn Regensburg,Kickers Emden,0,1
2008/2009,12,SV Sandhausen,Bayern München II,3,3
2008/2009,12,Fortuna Dusseldorf,Kickers Offenbach,1,0
2008/2009,13,Kickers Emden,Erzgebirge Aue,1,1
2008/2009,13,FC Carl Zeiss Jena,VfR Aalen,1,1
2008/2009,13,Eintracht Braunschweig,Werder Bremen,1,1
2008/2009,13,Bayern München II,Jahn Regensburg,2,2
2008/2009,13,SG Dynamo Dresden,SC Paderborn 07,0,3
2008/2009,13,1. FC Union Berlin,Fortuna Dusseldorf,1,0
2008/2009,13,VfB Stuttgart,SV Sandhausen,1,1
2008/2009,13,Kickers Offenbach,SpVgg Unterhaching,3,1
2008/2009,13,Wacker Burghausen,Rot-Weiß Erfurt,1,4
2008/2009,13,Wuppertaler SV Borussia,Stuttgarter Kickers,3,3
2008/2009,14,Werder Bremen,FC Carl Zeiss Jena,0,0
2008/2009,14,VfR Aalen,Wacker Burghausen,0,0
2008/2009,14,Rot-Weiß Erfurt,Kickers Emden,0,1
2008/2009,14,Jahn Regensburg,VfB Stuttgart,1,1
2008/2009,14,SV Sandhausen,Kickers Offenbach,0,2
2008/2009,14,SpVgg Unterhaching,1. FC Union Berlin,1,0
2008/2009,14,Fortuna Dusseldorf,Wuppertaler SV Borussia,3,1
2008/2009,14,Stuttgarter Kickers,SG Dynamo Dresden,2,1
2008/2009,14,Erzgebirge Aue,Bayern München II,1,1
2008/2009,14,SC Paderborn 07,Eintracht Braunschweig,2,1
2008/2009,15,Wacker Burghausen,Kickers Emden,3,1
2008/2009,15,VfB Stuttgart,Erzgebirge Aue,3,0
2008/2009,15,Kickers Offenbach,Jahn Regensburg,1,1
2008/2009,15,Wuppertaler SV Borussia,SpVgg Unterhaching,2,4
2008/2009,15,Eintracht Braunschweig,Stuttgarter Kickers,1,1
2008/2009,15,FC Carl Zeiss Jena,SC Paderborn 07,2,4
2008/2009,15,VfR Aalen,Werder Bremen,1,0
2008/2009,15,Bayern München II,Rot-Weiß Erfurt,1,0
2008/2009,15,1. FC Union Berlin,SV Sandhausen,2,2
2008/2009,15,SG Dynamo Dresden,Fortuna Dusseldorf,0,2
2008/2009,16,Erzgebirge Aue,Kickers Offenbach,2,1
2008/2009,16,SpVgg Unterhaching,SG Dynamo Dresden,2,0
2008/2009,16,Rot-Weiß Erfurt,VfB Stuttgart,1,0
2008/2009,16,Jahn Regensburg,1. FC Union Berlin,0,2
2008/2009,16,Fortuna Dusseldorf,Eintracht Braunschweig,2,1
2008/2009,16,SV Sandhausen,Wuppertaler SV Borussia,1,1
2008/2009,16,Stuttgarter Kickers,FC Carl Zeiss Jena,0,3
2008/2009,16,SC Paderborn 07,VfR Aalen,4,0
2008/2009,16,Werder Bremen,Wacker Burghausen,2,2
2008/2009,16,Kickers Emden,Bayern München II,0,2
2008/2009,17,VfB Stuttgart,Kickers Emden,0,1
2008/2009,17,Wuppertaler SV Borussia,Jahn Regensburg,0,0
2008/2009,17,1. FC Union Berlin,Erzgebirge Aue,2,0
2008/2009,17,Werder Bremen,SC Paderborn 07,2,3
2008/2009,17,Kickers Offenbach,Rot-Weiß Erfurt,0,0
2008/2009,17,FC Carl Zeiss Jena,Fortuna Dusseldorf,1,0
2008/2009,17,SG Dynamo Dresden,SV Sandhausen,1,1
2008/2009,17,Wacker Burghausen,Bayern München II,0,0
2008/2009,17,Eintracht Braunschweig,SpVgg Unterhaching,4,0
2008/2009,17,VfR Aalen,Stuttgarter Kickers,3,1
2008/2009,18,SV Sandhausen,Eintracht Braunschweig,0,1
2008/2009,18,SpVgg Unterhaching,FC Carl Zeiss Jena,1,0
2008/2009,18,Bayern München II,VfB Stuttgart,1,1
2008/2009,18,Wacker Burghausen,SC Paderborn 07,2,0
2008/2009,18,Fortuna Dusseldorf,VfR Aalen,1,1
2008/2009,18,Jahn Regensburg,SG Dynamo Dresden,1,0
2008/2009,18,Erzgebirge Aue,Wuppertaler SV Borussia,1,0
2008/2009,18,Rot-Weiß Erfurt,1. FC Union Berlin,1,1
2008/2009,18,Kickers Emden,Kickers Offenbach,1,1
2008/2009,18,Stuttgarter Kickers,Werder Bremen,3,2
2008/2009,19,Kickers Offenbach,Bayern München II,2,0
2008/2009,19,VfR Aalen,SpVgg Unterhaching,2,3
2008/2009,19,FC Carl Zeiss Jena,SV Sandhausen,2,0
2008/2009,19,Wuppertaler SV Borussia,Rot-Weiß Erfurt,0,2
2008/2009,19,Eintracht Braunschweig,Jahn Regensburg,0,3
2008/2009,19,SC Paderborn 07,Stuttgarter Kickers,2,0
2008/2009,19,Werder Bremen,Fortuna Dusseldorf,2,0
2008/2009,19,SG Dynamo Dresden,Erzgebirge Aue,3,1
2008/2009,19,VfB Stuttgart,Wacker Burghausen,3,0
2008/2009,19,1. FC Union Berlin,Kickers Emden,2,0
2008/2009,20,Eintracht Braunschweig,Erzgebirge Aue,1,1
2008/2009,20,Kickers Offenbach,VfB Stuttgart,2,0
2008/2009,20,SG Dynamo Dresden,Rot-Weiß Erfurt,1,1
2008/2009,20,1. FC Union Berlin,Bayern München II,0,0
2008/2009,20,Wuppertaler SV Borussia,Kickers Emden,0,3
2008/2009,20,FC Carl Zeiss Jena,Jahn Regensburg,0,0
2008/2009,20,Werder Bremen,SpVgg Unterhaching,1,0
2008/2009,20,Stuttgarter Kickers,Wacker Burghausen,0,0
2008/2009,20,SC Paderborn 07,Fortuna Dusseldorf,0,0
2008/2009,20,VfR Aalen,SV Sandhausen,0,0
2008/2009,21,Kickers Emden,SG Dynamo Dresden,2,2
2008/2009,21,Rot-Weiß Erfurt,Eintracht Braunschweig,2,1
2008/2009,21,Bayern München II,Wuppertaler SV Borussia,2,0
2008/2009,21,Wacker Burghausen,Kickers Offenbach,0,0
2008/2009,21,Erzgebirge Aue,FC Carl Zeiss Jena,5,0
2008/2009,21,SV Sandhausen,Werder Bremen,3,1
2008/2009,21,SpVgg Unterhaching,SC Paderborn 07,2,1
2008/2009,21,VfB Stuttgart,1. FC Union Berlin,0,3
2008/2009,21,Fortuna Dusseldorf,Stuttgarter Kickers,2,0
2008/2009,21,Jahn Regensburg,VfR Aalen,1,0
2008/2009,22,1. FC Union Berlin,Kickers Offenbach,1,0
2008/2009,22,Fortuna Dusseldorf,Wacker Burghausen,3,1
2008/2009,22,SC Paderborn 07,SV Sandhausen,1,2
2008/2009,22,FC Carl Zeiss Jena,Rot-Weiß Erfurt,1,1
2008/2009,22,Eintracht Braunschweig,Kickers Emden,2,1
2008/2009,22,SG Dynamo Dresden,Bayern München II,3,2
2008/2009,22,Wuppertaler SV Borussia,VfB Stuttgart,2,0
2008/2009,22,Stuttgarter Kickers,SpVgg Unterhaching,2,1
2008/2009,22,VfR Aalen,Erzgebirge Aue,0,0
2008/2009,22,Werder Bremen,Jahn Regensburg,2,2
2008/2009,23,VfB Stuttgart,SG Dynamo Dresden,2,0
2008/2009,23,Rot-Weiß Erfurt,VfR Aalen,0,0
2008/2009,23,SV Sandhausen,Stuttgarter Kickers,2,0
2008/2009,23,Bayern München II,Eintracht Braunschweig,0,1
2008/2009,23,Kickers Emden,FC Carl Zeiss Jena,3,1
2008/2009,23,SpVgg Unterhaching,Fortuna Dusseldorf,2,1
2008/2009,23,Kickers Offenbach,Wuppertaler SV Borussia,1,2
2008/2009,23,Wacker Burghausen,1. FC Union Berlin,0,0
2008/2009,23,Erzgebirge Aue,Werder Bremen,0,1
2008/2009,23,Jahn Regensburg,SC Paderborn 07,0,4
2008/2009,24,Wuppertaler SV Borussia,1. FC Union Berlin,0,1
2008/2009,24,Eintracht Braunschweig,VfB Stuttgart,2,0
2008/2009,24,SC Paderborn 07,Erzgebirge Aue,0,0
2008/2009,24,Fortuna Dusseldorf,SV Sandhausen,3,2
2008/2009,24,SG Dynamo Dresden,Kickers Offenbach,1,1
2008/2009,24,SpVgg Unterhaching,Wacker Burghausen,0,2
2008/2009,24,Werder Bremen,Rot-Weiß Erfurt,2,1
2008/2009,24,FC Carl Zeiss Jena,Bayern München II,0,2
2008/2009,24,VfR Aalen,Kickers Emden,0,0
2008/2009,24,Stuttgarter Kickers,Jahn Regensburg,1,1
2008/2009,25,Kickers Emden,Werder Bremen,3,1
2008/2009,25,Wacker Burghausen,Wuppertaler SV Borussia,2,0
2008/2009,25,1. FC Union Berlin,SG Dynamo Dresden,2,1
2008/2009,25,VfB Stuttgart,FC Carl Zeiss Jena,3,0
2008/2009,25,Kickers Offenbach,Eintracht Braunschweig,2,0
2008/2009,25,Rot-Weiß Erfurt,SC Paderborn 07,1,4
2008/2009,25,Erzgebirge Aue,Stuttgarter Kickers,0,2
2008/2009,25,Jahn Regensburg,Fortuna Dusseldorf,1,2
2008/2009,25,SV Sandhausen,SpVgg Unterhaching,3,1
2008/2009,25,Bayern München II,VfR Aalen,4,0
2008/2009,26,FC Carl Zeiss Jena,Kickers Offenbach,0,2
2008/2009,26,Stuttgarter Kickers,Rot-Weiß Erfurt,1,2
2008/2009,26,Fortuna Dusseldorf,Erzgebirge Aue,0,0
2008/2009,26,SpVgg Unterhaching,Jahn Regensburg,1,0
2008/2009,26,SG Dynamo Dresden,Wuppertaler SV Borussia,1,1
2008/2009,26,Eintracht Braunschweig,1. FC Union Berlin,0,2
2008/2009,26,VfR Aalen,VfB Stuttgart,2,1
2008/2009,26,SV Sandhausen,Wacker Burghausen,1,1
2008/2009,26,Werder Bremen,Bayern München II,0,0
2008/2009,26,SC Paderborn 07,Kickers Emden,2,0
2008/2009,27,VfB Stuttgart,Werder Bremen,2,0
2008/2009,27,Kickers Offenbach,VfR Aalen,2,1
2008/2009,27,Wacker Burghausen,SG Dynamo Dresden,0,3
2008/2009,27,Wuppertaler SV Borussia,Eintracht Braunschweig,1,0
2008/2009,27,Kickers Emden,Stuttgarter Kickers,0,1
2008/2009,27,Bayern München II,SC Paderborn 07,2,1
2008/2009,27,Erzgebirge Aue,SpVgg Unterhaching,1,1
2008/2009,27,Jahn Regensburg,SV Sandhausen,2,1
2008/2009,27,1. FC Union Berlin,FC Carl Zeiss Jena,1,0
2008/2009,27,Rot-Weiß Erfurt,Fortuna Dusseldorf,2,0
2008/2009,28,SpVgg Unterhaching,Rot-Weiß Erfurt,4,0
2008/2009,28,VfR Aalen,1. FC Union Berlin,1,4
2008/2009,28,Stuttgarter Kickers,Bayern München II,0,0
2008/2009,28,Jahn Regensburg,Wacker Burghausen,1,0
2008/2009,28,Werder Bremen,Kickers Offenbach,3,1
2008/2009,28,FC Carl Zeiss Jena,Wuppertaler SV Borussia,0,0
2008/2009,28,Eintracht Braunschweig,SG Dynamo Dresden,0,1
2008/2009,28,SV Sandhausen,Erzgebirge Aue,0,2
2008/2009,28,Fortuna Dusseldorf,Kickers Emden,1,1
2008/2009,28,SC Paderborn 07,VfB Stuttgart,1,1
2008/2009,29,Bayern München II,Fortuna Dusseldorf,0,1
2008/2009,29,Kickers Emden,SpVgg Unterhaching,0,4
2008/2009,29,Kickers Offenbach,SC Paderborn 07,0,0
2008/2009,29,1. FC Union Berlin,Werder Bremen,0,0
2008/2009,29,VfB Stuttgart,Stuttgarter Kickers,3,0
2008/2009,29,Wuppertaler SV Borussia,VfR Aalen,5,0
2008/2009,29,SG Dynamo Dresden,FC Carl Zeiss Jena,2,0
2008/2009,29,Wacker Burghausen,Eintracht Braunschweig,0,2
2008/2009,29,Erzgebirge Aue,Jahn Regensburg,1,0
2008/2009,29,Rot-Weiß Erfurt,SV Sandhausen,1,1
2008/2009,30,Erzgebirge Aue,Wacker Burghausen,2,0
2008/2009,30,VfR Aalen,SG Dynamo Dresden,4,3
2008/2009,30,FC Carl Zeiss Jena,Eintracht Braunschweig,2,0
2008/2009,30,Jahn Regensburg,Rot-Weiß Erfurt,1,0
2008/2009,30,SC Paderborn 07,1. FC Union Berlin,0,0
2008/2009,30,SV Sandhausen,Kickers Emden,2,1
2008/2009,30,Fortuna Dusseldorf,VfB Stuttgart,1,1
2008/2009,30,Stuttgarter Kickers,Kickers Offenbach,0,1
2008/2009,30,Werder Bremen,Wuppertaler SV Borussia,1,1
2008/2009,30,SpVgg Unterhaching,Bayern München II,2,1
2008/2009,31,Eintracht Braunschweig,VfR Aalen,2,0
2008/2009,31,Wacker Burghausen,FC Carl Zeiss Jena,0,2
2008/2009,31,1. FC Union Berlin,Stuttgarter Kickers,5,1
2008/2009,31,Bayern München II,SV Sandhausen,2,1
2008/2009,31,SG Dynamo Dresden,Werder Bremen,2,1
2008/2009,31,Kickers Offenbach,Fortuna Dusseldorf,0,2
2008/2009,31,VfB Stuttgart,SpVgg Unterhaching,1,3
2008/2009,31,Kickers Emden,Jahn Regensburg,0,0
2008/2009,31,Rot-Weiß Erfurt,Erzgebirge Aue,2,0
2008/2009,31,Wuppertaler SV Borussia,SC Paderborn 07,0,1
2008/2009,32,SV Sandhausen,VfB Stuttgart,1,1
2008/2009,32,Fortuna Dusseldorf,1. FC Union Berlin,0,1
2008/2009,32,VfR Aalen,FC Carl Zeiss Jena,3,2
2008/2009,32,Werder Bremen,Eintracht Braunschweig,1,1
2008/2009,32,SC Paderborn 07,SG Dynamo Dresden,1,2
2008/2009,32,Stuttgarter Kickers,Wuppertaler SV Borussia,0,1
2008/2009,32,SpVgg Unterhaching,Kickers Offenbach,1,0
2008/2009,32,Rot-Weiß Erfurt,Wacker Burghausen,0,3
2008/2009,32,Jahn Regensburg,Bayern München II,1,2
2008/2009,32,Erzgebirge Aue,Kickers Emden,3,0
2008/2009,33,Eintracht Braunschweig,SC Paderborn 07,2,0
2008/2009,33,Bayern München II,Erzgebirge Aue,2,3
2008/2009,33,SG Dynamo Dresden,Stuttgarter Kickers,1,2
2008/2009,33,1. FC Union Berlin,SpVgg Unterhaching,0,1
2008/2009,33,Kickers Offenbach,SV Sandhausen,0,3
2008/2009,33,Wacker Burghausen,VfR Aalen,1,0
2008/2009,33,FC Carl Zeiss Jena,Werder Bremen,3,1
2008/2009,33,VfB Stuttgart,Jahn Regensburg,1,2
2008/2009,33,Wuppertaler SV Borussia,Fortuna Dusseldorf,0,0
2008/2009,33,Kickers Emden,Rot-Weiß Erfurt,1,0
2008/2009,34,SV Sandhausen,1. FC Union Berlin,0,0
2008/2009,34,Werder Bremen,VfR Aalen,3,1
2008/2009,34,Kickers Emden,Wacker Burghausen,1,1
2008/2009,34,Erzgebirge Aue,VfB Stuttgart,0,3
2008/2009,34,Jahn Regensburg,Kickers Offenbach,1,1
2008/2009,34,SpVgg Unterhaching,Wuppertaler SV Borussia,1,1
2008/2009,34,Stuttgarter Kickers,Eintracht Braunschweig,3,1
2008/2009,34,SC Paderborn 07,FC Carl Zeiss Jena,2,0
2008/2009,34,Rot-Weiß Erfurt,Bayern München II,1,1
2008/2009,34,Fortuna Dusseldorf,SG Dynamo Dresden,1,0
2008/2009,35,Eintracht Braunschweig,Fortuna Dusseldorf,5,5
2008/2009,35,VfB Stuttgart,Rot-Weiß Erfurt,3,1
2008/2009,35,VfR Aalen,SC Paderborn 07,3,3
2008/2009,35,SG Dynamo Dresden,SpVgg Unterhaching,1,0
2008/2009,35,Wuppertaler SV Borussia,SV Sandhausen,1,0
2008/2009,35,1. FC Union Berlin,Jahn Regensburg,2,0
2008/2009,35,Kickers Offenbach,Erzgebirge Aue,0,0
2008/2009,35,FC Carl Zeiss Jena,Stuttgarter Kickers,0,0
2008/2009,35,Wacker Burghausen,Werder Bremen,2,2
2008/2009,35,Bayern München II,Kickers Emden,4,0
2008/2009,36,Bayern München II,Wacker Burghausen,3,1
2008/2009,36,Fortuna Dusseldorf,FC Carl Zeiss Jena,1,0
2008/2009,36,Kickers Emden,VfB Stuttgart,2,1
2008/2009,36,SpVgg Unterhaching,Eintracht Braunschweig,2,0
2008/2009,36,Rot-Weiß Erfurt,Kickers Offenbach,1,1
2008/2009,36,SV Sandhausen,SG Dynamo Dresden,2,2
2008/2009,36,Jahn Regensburg,Wuppertaler SV Borussia,2,0
2008/2009,36,Stuttgarter Kickers,VfR Aalen,1,4
2008/2009,36,SC Paderborn 07,Werder Bremen,0,2
2008/2009,36,Erzgebirge Aue,1. FC Union Berlin,0,1
2008/2009,37,SC Paderborn 07,Wacker Burghausen,6,0
2008/2009,37,VfB Stuttgart,Bayern München II,2,2
2008/2009,37,Werder Bremen,Stuttgarter Kickers,2,0
2008/2009,37,VfR Aalen,Fortuna Dusseldorf,1,2
2008/2009,37,FC Carl Zeiss Jena,SpVgg Unterhaching,4,3
2008/2009,37,Eintracht Braunschweig,SV Sandhausen,3,3
2008/2009,37,SG Dynamo Dresden,Jahn Regensburg,3,1
2008/2009,37,Wuppertaler SV Borussia,Erzgebirge Aue,1,0
2008/2009,37,Kickers Offenbach,Kickers Emden,0,0
2008/2009,37,1. FC Union Berlin,Rot-Weiß Erfurt,1,1
2008/2009,38,Stuttgarter Kickers,SC Paderborn 07,0,3
2008/2009,38,SpVgg Unterhaching,VfR Aalen,2,1
2008/2009,38,SV Sandhausen,FC Carl Zeiss Jena,2,2
2008/2009,38,Jahn Regensburg,Eintracht Braunschweig,2,0
2008/2009,38,Rot-Weiß Erfurt,Wuppertaler SV Borussia,2,2
2008/2009,38,Kickers Emden,1. FC Union Berlin,3,2
2008/2009,38,Bayern München II,Kickers Offenbach,1,1
2008/2009,38,Wacker Burghausen,VfB Stuttgart,2,1
2008/2009,38,Erzgebirge Aue,SG Dynamo Dresden,1,1
2008/2009,38,Fortuna Dusseldorf,Werder Bremen,1,0
2009/2010,1,FC Ingolstadt,Bayern München II,2,0
2009/2010,1,Wacker Burghausen,Borussia Dortmund II,4,3
2009/2010,1,Eintracht Braunschweig,VfL Osnabrück,1,0
2009/2010,1,Werder Bremen,Rot-Weiß Erfurt,0,0
2009/2010,1,Kickers Offenbach,Erzgebirge Aue,0,0
2009/2010,1,SpVgg Unterhaching,SV Sandhausen,3,3
2009/2010,1,FC Carl Zeiss Jena,SV Wehen Wiesbaden,2,1
2009/2010,1,SG Dynamo Dresden,VfB Stuttgart,0,1
2009/2010,1,Jahn Regensburg,Holstein Kiel,2,0
2009/2010,1,1. FC Heidenheim,Wuppertaler SV Borussia,2,2
2009/2010,2,Holstein Kiel,Wacker Burghausen,0,1
2009/2010,2,Erzgebirge Aue,FC Ingolstadt,1,0
2009/2010,2,SV Wehen Wiesbaden,SG Dynamo Dresden,0,1
2009/2010,2,SV Sandhausen,FC Carl Zeiss Jena,2,2
2009/2010,2,VfL Osnabrück,Werder Bremen,1,0
2009/2010,2,Bayern München II,SpVgg Unterhaching,1,1
2009/2010,2,Rot-Weiß Erfurt,Kickers Offenbach,0,2
2009/2010,2,Borussia Dortmund II,Eintracht Braunschweig,0,0
2009/2010,2,VfB Stuttgart,1. FC Heidenheim,1,1
2009/2010,2,Wuppertaler SV Borussia,Jahn Regensburg,2,2
2009/2010,3,Kickers Offenbach,VfL Osnabrück,2,0
2009/2010,3,SpVgg Unterhaching,Erzgebirge Aue,2,2
2009/2010,3,FC Carl Zeiss Jena,Bayern München II,6,0
2009/2010,3,SG Dynamo Dresden,SV Sandhausen,0,3
2009/2010,3,FC Ingolstadt,Rot-Weiß Erfurt,5,0
2009/2010,3,Jahn Regensburg,Wacker Burghausen,0,0
2009/2010,3,1. FC Heidenheim,SV Wehen Wiesbaden,0,2
2009/2010,3,Wuppertaler SV Borussia,VfB Stuttgart,0,3
2009/2010,3,Eintracht Braunschweig,Holstein Kiel,2,1
2009/2010,3,Werder Bremen,Borussia Dortmund II,1,0
2009/2010,4,Borussia Dortmund II,Kickers Offenbach,0,0
2009/2010,4,Bayern München II,SG Dynamo Dresden,0,0
2009/2010,4,Holstein Kiel,Werder Bremen,4,0
2009/2010,4,Wacker Burghausen,Eintracht Braunschweig,0,2
2009/2010,4,Erzgebirge Aue,FC Carl Zeiss Jena,0,0
2009/2010,4,Rot-Weiß Erfurt,SpVgg Unterhaching,1,1
